 SHGOLD, Au(T+D), Profit,188229.49000, TradeCount = 1315,ex_dLots=1,ex_nIsNewOrder=1000000,ex_bIsNewSession=true,ex_dOpen_abs=0.150,ex_dClose_abs=0.150,ex_dOpen_ma=0.150,ex_dClose_ma=0.200,ex_nCCPeriod=100.000,ex_nMAPeriod=100.000,ex_dRenkoStep=0.100,ex_dP_ABS=500,ex_dP_MIN=100,ex_sProductType=ABC,ex_bPublishRates=true,, TRADE_VIEW_MT5, XAUUSD, Profit,-9339.24016, TradeCount = 1315,, TRADE_VIEW_MT5, USDCNH, Profit,-148906.67590, TradeCount = 1315,,
 SHGOLD, Au(T+D), Profit,142348.51480, TradeCount = 1073,ex_dLots=1,ex_nIsNewOrder=1000000,ex_bIsNewSession=true,ex_dOpen_abs=0.150,ex_dClose_abs=0.150,ex_dOpen_ma=0.150,ex_dClose_ma=0.200,ex_nCCPeriod=100.000,ex_nMAPeriod=100.000,ex_dRenkoStep=0.150,ex_dP_ABS=500,ex_dP_MIN=100,ex_sProductType=ABC,ex_bPublishRates=true,, TRADE_VIEW_MT5, XAUUSD, Profit,-351.64576, TradeCount = 1073,, TRADE_VIEW_MT5, USDCNH, Profit,-119072.30985, TradeCount = 1073,,
 SHGOLD, Au(T+D), Profit,124152.69400, TradeCount = 922,ex_dLots=1,ex_nIsNewOrder=1000000,ex_bIsNewSession=true,ex_dOpen_abs=0.150,ex_dClose_abs=0.150,ex_dOpen_ma=0.150,ex_dClose_ma=0.200,ex_nCCPeriod=100.000,ex_nMAPeriod=100.000,ex_dRenkoStep=0.200,ex_dP_ABS=500,ex_dP_MIN=100,ex_sProductType=ABC,ex_bPublishRates=true,, TRADE_VIEW_MT5, XAUUSD, Profit,5486.08808, TradeCount = 922,, TRADE_VIEW_MT5, USDCNH, Profit,-113983.76915, TradeCount = 922,,
 SHGOLD, Au(T+D), Profit,144327.18080, TradeCount = 1589,ex_dLots=1,ex_nIsNewOrder=1000000,ex_bIsNewSession=true,ex_dOpen_abs=0.150,ex_dClose_abs=0.150,ex_dOpen_ma=0.200,ex_dClose_ma=0.150,ex_nCCPeriod=50.000,ex_nMAPeriod=50.000,ex_dRenkoStep=0.100,ex_dP_ABS=500,ex_dP_MIN=100,ex_sProductType=ABC,ex_bPublishRates=true,, TRADE_VIEW_MT5, XAUUSD, Profit,-12020.21136, TradeCount = 1589,, TRADE_VIEW_MT5, USDCNH, Profit,-143879.92240, TradeCount = 1589,,
 SHGOLD, Au(T+D), Profit,146955.36000, TradeCount = 1234,ex_dLots=1,ex_nIsNewOrder=1000000,ex_bIsNewSession=true,ex_dOpen_abs=0.150,ex_dClose_abs=0.150,ex_dOpen_ma=0.200,ex_dClose_ma=0.150,ex_nCCPeriod=50.000,ex_nMAPeriod=50.000,ex_dRenkoStep=0.150,ex_dP_ABS=500,ex_dP_MIN=100,ex_sProductType=ABC,ex_bPublishRates=true,, TRADE_VIEW_MT5, XAUUSD, Profit,-6039.01904, TradeCount = 1234,, TRADE_VIEW_MT5, USDCNH, Profit,-109324.16925, TradeCount = 1234,,
 SHGOLD, Au(T+D), Profit,165795.52480, TradeCount = 1061,ex_dLots=1,ex_nIsNewOrder=1000000,ex_bIsNewSession=true,ex_dOpen_abs=0.150,ex_dClose_abs=0.150,ex_dOpen_ma=0.200,ex_dClose_ma=0.150,ex_nCCPeriod=50.000,ex_nMAPeriod=50.000,ex_dRenkoStep=0.200,ex_dP_ABS=500,ex_dP_MIN=100,ex_sProductType=ABC,ex_bPublishRates=true,, TRADE_VIEW_MT5, XAUUSD, Profit,-3060.81840, TradeCount = 1061,, TRADE_VIEW_MT5, USDCNH, Profit,-112412.75990, TradeCount = 1061,,
 SHGOLD, Au(T+D), Profit,102595.01720, TradeCount = 1781,ex_dLots=1,ex_nIsNewOrder=1000000,ex_bIsNewSession=true,ex_dOpen_abs=0.150,ex_dClose_abs=0.150,ex_dOpen_ma=0.200,ex_dClose_ma=0.150,ex_nCCPeriod=50.000,ex_nMAPeriod=100.000,ex_dRenkoStep=0.100,ex_dP_ABS=500,ex_dP_MIN=100,ex_sProductType=ABC,ex_bPublishRates=true,, TRADE_VIEW_MT5, XAUUSD, Profit,-5317.60680, TradeCount = 1781,, TRADE_VIEW_MT5, USDCNH, Profit,-164134.70795, TradeCount = 1781,,
 SHGOLD, Au(T+D), Profit,174068.99360, TradeCount = 1341,ex_dLots=1,ex_nIsNewOrder=1000000,ex_bIsNewSession=true,ex_dOpen_abs=0.150,ex_dClose_abs=0.150,ex_dOpen_ma=0.200,ex_dClose_ma=0.150,ex_nCCPeriod=50.000,ex_nMAPeriod=100.000,ex_dRenkoStep=0.150,ex_dP_ABS=500,ex_dP_MIN=100,ex_sProductType=ABC,ex_bPublishRates=true,, TRADE_VIEW_MT5, XAUUSD, Profit,-8172.73464, TradeCount = 1341,, TRADE_VIEW_MT5, USDCNH, Profit,-138180.48330, TradeCount = 1341,,
 SHGOLD, Au(T+D), Profit,143807.18520, TradeCount = 1188,ex_dLots=1,ex_nIsNewOrder=1000000,ex_bIsNewSession=true,ex_dOpen_abs=0.150,ex_dClose_abs=0.150,ex_dOpen_ma=0.200,ex_dClose_ma=0.150,ex_nCCPeriod=50.000,ex_nMAPeriod=100.000,ex_dRenkoStep=0.200,ex_dP_ABS=500,ex_dP_MIN=100,ex_sProductType=ABC,ex_bPublishRates=true,, TRADE_VIEW_MT5, XAUUSD, Profit,397.73344, TradeCount = 1188,, TRADE_VIEW_MT5, USDCNH, Profit,-121980.13085, TradeCount = 1188,,
 SHGOLD, Au(T+D), Profit,185997.70480, TradeCount = 1258,ex_dLots=1,ex_nIsNewOrder=1000000,ex_bIsNewSession=true,ex_dOpen_abs=0.150,ex_dClose_abs=0.150,ex_dOpen_ma=0.200,ex_dClose_ma=0.150,ex_nCCPeriod=100.000,ex_nMAPeriod=50.000,ex_dRenkoStep=0.100,ex_dP_ABS=500,ex_dP_MIN=100,ex_sProductType=ABC,ex_bPublishRates=true,, TRADE_VIEW_MT5, XAUUSD, Profit,-9704.49888, TradeCount = 1258,, TRADE_VIEW_MT5, USDCNH, Profit,-132044.15115, TradeCount = 1258,,
