 SHGOLD, Au(T+D), Profit,38830.424,-3406.21304,-16111.92608,15668.17533,-443.750752, TradeCount = 12,ex_dLots=1,ex_nIsNewOrder=1000000,ex_bIsNewSession=true,ex_dOpen_abs=0.100,ex_dClose_abs=0.150,ex_dOpen_ma=0.200,ex_dClose_ma=0.250,ex_nCCPeriod=100.000,ex_nMAPeriod=70.000,ex_dRenkoStep=0.150,ex_sProductType=ABC,ex_bPublishRates=true, TRADE_VIEW_MT5, XAUUSD, Profit,-3406.21304, TradeCount = 12, TRADE_VIEW_MT5, USDCNH, Profit,-16111.92608, TradeCount = 12
 SHGOLD, Au(T+D), Profit,44091.836,-4185.06512,-15923.58287,15633.39318,-290.189686, TradeCount = 18,ex_dLots=1,ex_nIsNewOrder=1000000,ex_bIsNewSession=true,ex_dOpen_abs=0.100,ex_dClose_abs=0.100,ex_dOpen_ma=0.200,ex_dClose_ma=0.250,ex_nCCPeriod=100.000,ex_nMAPeriod=90.000,ex_dRenkoStep=0.150,ex_sProductType=ABC,ex_bPublishRates=true, TRADE_VIEW_MT5, XAUUSD, Profit,-4185.06512, TradeCount = 18, TRADE_VIEW_MT5, USDCNH, Profit,-15923.58287, TradeCount = 18
 SHGOLD, Au(T+D), Profit,20989.06,-791.06104,-14171.32281,15609.84493,1438.522118, TradeCount = 20,ex_dLots=1,ex_nIsNewOrder=1000000,ex_bIsNewSession=true,ex_dOpen_abs=0.200,ex_dClose_abs=0.200,ex_dOpen_ma=0.150,ex_dClose_ma=0.200,ex_nCCPeriod=60.000,ex_nMAPeriod=90.000,ex_dRenkoStep=0.200,ex_sProductType=ABC,ex_bPublishRates=true, TRADE_VIEW_MT5, XAUUSD, Profit,-791.06104, TradeCount = 20, TRADE_VIEW_MT5, USDCNH, Profit,-14171.32281, TradeCount = 20
 SHGOLD, Au(T+D), Profit,39389.228,-3502.79536,-15991.7605,15570.21955,-421.540948, TradeCount = 22,ex_dLots=1,ex_nIsNewOrder=1000000,ex_bIsNewSession=true,ex_dOpen_abs=0.100,ex_dClose_abs=0.150,ex_dOpen_ma=0.200,ex_dClose_ma=0.200,ex_nCCPeriod=100.000,ex_nMAPeriod=70.000,ex_dRenkoStep=0.150,ex_sProductType=ABC,ex_bPublishRates=true, TRADE_VIEW_MT5, XAUUSD, Profit,-3502.79536, TradeCount = 22, TRADE_VIEW_MT5, USDCNH, Profit,-15991.7605, TradeCount = 22
 SHGOLD, Au(T+D), Profit,24337.072,-1303.14632,-14740.81776,15475.67702,734.859264, TradeCount = 19,ex_dLots=1,ex_nIsNewOrder=1000000,ex_bIsNewSession=true,ex_dOpen_abs=0.150,ex_dClose_abs=0.200,ex_dOpen_ma=0.200,ex_dClose_ma=0.150,ex_nCCPeriod=60.000,ex_nMAPeriod=90.000,ex_dRenkoStep=0.200,ex_sProductType=ABC,ex_bPublishRates=true, TRADE_VIEW_MT5, XAUUSD, Profit,-1303.14632, TradeCount = 19, TRADE_VIEW_MT5, USDCNH, Profit,-14740.81776, TradeCount = 19
 SHGOLD, Au(T+D), Profit,43018.56,-4051.5308,-15400.86084,15468.15056,67.28972, TradeCount = 17,ex_dLots=1,ex_nIsNewOrder=1000000,ex_bIsNewSession=true,ex_dOpen_abs=0.100,ex_dClose_abs=0.150,ex_dOpen_ma=0.200,ex_dClose_ma=0.250,ex_nCCPeriod=100.000,ex_nMAPeriod=90.000,ex_dRenkoStep=0.150,ex_sProductType=ABC,ex_bPublishRates=true, TRADE_VIEW_MT5, XAUUSD, Profit,-4051.5308, TradeCount = 17, TRADE_VIEW_MT5, USDCNH, Profit,-15400.86084, TradeCount = 17
 SHGOLD, Au(T+D), Profit,24487.26,-1328.08232,-14889.9125,15456.30022,566.387724, TradeCount = 19,ex_dLots=1,ex_nIsNewOrder=1000000,ex_bIsNewSession=true,ex_dOpen_abs=0.100,ex_dClose_abs=0.200,ex_dOpen_ma=0.200,ex_dClose_ma=0.150,ex_nCCPeriod=60.000,ex_nMAPeriod=90.000,ex_dRenkoStep=0.200,ex_sProductType=ABC,ex_bPublishRates=true, TRADE_VIEW_MT5, XAUUSD, Profit,-1328.08232, TradeCount = 19, TRADE_VIEW_MT5, USDCNH, Profit,-14889.9125, TradeCount = 19
 SHGOLD, Au(T+D), Profit,44061.8,-4208.41832,-16012.44578,15444.55542,-567.890356, TradeCount = 18,ex_dLots=1,ex_nIsNewOrder=1000000,ex_bIsNewSession=true,ex_dOpen_abs=0.100,ex_dClose_abs=0.100,ex_dOpen_ma=0.150,ex_dClose_ma=0.250,ex_nCCPeriod=100.000,ex_nMAPeriod=90.000,ex_dRenkoStep=0.150,ex_sProductType=ABC,ex_bPublishRates=true, TRADE_VIEW_MT5, XAUUSD, Profit,-4208.41832, TradeCount = 18, TRADE_VIEW_MT5, USDCNH, Profit,-16012.44578, TradeCount = 18
 SHGOLD, Au(T+D), Profit,22481.936,-1050.68776,-14480.62348,15337.25923,856.635752, TradeCount = 20,ex_dLots=1,ex_nIsNewOrder=1000000,ex_bIsNewSession=true,ex_dOpen_abs=0.150,ex_dClose_abs=0.200,ex_dOpen_ma=0.150,ex_dClose_ma=0.200,ex_nCCPeriod=60.000,ex_nMAPeriod=90.000,ex_dRenkoStep=0.200,ex_sProductType=ABC,ex_bPublishRates=true, TRADE_VIEW_MT5, XAUUSD, Profit,-1050.68776, TradeCount = 20, TRADE_VIEW_MT5, USDCNH, Profit,-14480.62348, TradeCount = 20
 SHGOLD, Au(T+D), Profit,42988.524,-4069.44536,-15463.97019,15316.29555,-147.674638, TradeCount = 17,ex_dLots=1,ex_nIsNewOrder=1000000,ex_bIsNewSession=true,ex_dOpen_abs=0.100,ex_dClose_abs=0.150,ex_dOpen_ma=0.150,ex_dClose_ma=0.250,ex_nCCPeriod=100.000,ex_nMAPeriod=90.000,ex_dRenkoStep=0.150,ex_sProductType=ABC,ex_bPublishRates=true, TRADE_VIEW_MT5, XAUUSD, Profit,-4069.44536, TradeCount = 17, TRADE_VIEW_MT5, USDCNH, Profit,-15463.97019, TradeCount = 17
